#ies_format_version: 1.0
#file: 20250801_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	iec_in;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	iec_out;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	iec_in;	iec_out
20250801;	125045;	1754032845.000;	        err9;	        err9
20250801;	125050;	1754032850.000;	        err9;	        err9
20250801;	125055;	1754032855.000;	        err9;	        err9
20250801;	125100;	1754032860.000;	        err9;	        err9
20250801;	125105;	1754032865.000;	       err32;	       err32
20250801;	125110;	1754032870.000;	       err32;	       err32
20250801;	125115;	1754032875.000;	       err32;	       err32
20250801;	125120;	1754032880.000;	       err32;	       err32
20250801;	125125;	1754032885.000;	       err32;	       err32
20250801;	125130;	1754032890.000;	        err9;	        err9
20250801;	125135;	1754032895.000;	        err9;	        err9
20250801;	125140;	1754032900.000;	        err9;	        err9
20250801;	125145;	1754032905.000;	        err9;	        err9
20250801;	125150;	1754032910.000;	        err9;	        err9
20250801;	125155;	1754032915.000;	        err9;	        err9
20250801;	125200;	1754032920.000;	        err9;	        err9
20250801;	125205;	1754032925.000;	        err9;	        err9
20250801;	125210;	1754032930.000;	        err9;	        err9
20250801;	125215;	1754032935.000;	        err9;	        err9
20250801;	125220;	1754032940.000;	        err9;	        err9
20250801;	125225;	1754032945.000;	        err9;	        err9
20250801;	125230;	1754032950.000;	        err8;	        err8
20250801;	125235;	1754032955.000;	        err9;	        err9
20250801;	125240;	1754032960.000;	        err9;	        err9
20250801;	125245;	1754032965.000;	        err9;	        err9
20250801;	125250;	1754032970.000;	        err9;	        err9
20250801;	125255;	1754032975.000;	        err9;	        err9
20250801;	125300;	1754032980.000;	        err9;	        err9
20250801;	125305;	1754032985.000;	        err9;	        err9
20250801;	125310;	1754032990.000;	        err9;	        err9
20250801;	125315;	1754032995.000;	        err9;	        err9
20250801;	125320;	1754033000.000;	        err9;	        err9
20250801;	125325;	1754033005.000;	        err9;	        err9
20250801;	125330;	1754033010.000;	        err9;	        err9
20250801;	125335;	1754033015.000;	        err9;	        err9
20250801;	125340;	1754033020.000;	        err9;	        err9
